M,N,K,Basic,Autotuned,Split-K,PyTorch
256.000000,256.000000,256.000000,2.520615,2.730667,1.638400,2.730667
512.000000,512.000000,512.000000,11.382100,13.797053,9.039448,10.082462
1024.000000,1024.000000,1024.000000,29.127110,31.775030,19.418074,26.214401
2048.000000,2048.000000,2048.000000,35.394970,40.622799,28.532680,43.690665
4096.000000,4096.000000,4096.000000,33.625887,39.721139,25.473094,41.361993
16.000000,16.000000,4096.000000,0.015754,0.020480,0.049951,0.035930
32.000000,32.000000,4096.000000,0.066602,0.082669,0.186182,0.630154
32.000000,32.000000,8192.000000,0.067702,0.084021,0.215579,0.963765
64.000000,64.000000,4096.000000,0.266406,0.327680,0.671303,2.048000
64.000000,64.000000,8192.000000,0.269695,0.336082,0.809086,3.120762
64.000000,64.000000,16384.000000,0.273067,0.340447,0.897753,4.228129
128.000000,128.000000,4096.000000,1.057032,1.310720,2.624721,7.281778
128.000000,128.000000,8192.000000,1.083170,1.344328,3.196878,9.362286
128.000000,128.000000,16384.000000,1.092267,1.361787,3.566585,11.650844
32.000000,4096.000000,4096.000000,7.489828,8.065969,7.465665,8.004397
64.000000,2048.000000,8192.000000,8.594885,10.591677,14.563555,11.522813
4096.000000,4096.000000,64.000000,21.183354,21.183354,2.814969,15.650388
4096.000000,4096.000000,128.000000,30.393507,31.068920,5.675648,27.235741
