N,Triton,Triton-exp2,Triton-online,PyTorch
128.000000,455.111095,455.111095,455.111095,450.419238
256.000000,512.000001,512.000001,512.000001,546.133347
512.000000,606.814814,630.153853,587.766828,655.360017
1024.000000,642.509816,653.725690,585.142849,629.775380
2048.000000,661.979817,661.979817,612.485982,569.878248
4096.000000,648.871301,648.871301,606.814814,633.198054
8192.000000,644.088430,648.871301,531.732221,645.674867
16384.000000,640.938875,644.880672,439.470242,661.145032
32768.000000,563.447619,578.664380,429.744271,672.595255
65536.000000,114.717577,102.143147,427.771957,593.925781
